CustomerID,Age,Age_Group,Gender,Income,EmailOpens,EmailClicks,ClickThroughRate,Conversion,ConversionRate,CampaignChannel,CampaignType,PreviousPurchases,LoyaltyPoints,WebsiteVisits,High_CTR
8000,56,55–64,Female,136912,6,9,0.043918510735383,1,0.088031412072881,Social Media,Awareness,4,688,0,0
8001,69,65+,Male,41760,2,7,0.1557250710553343,1,0.18272468252179,Email,Retention,2,3459,42,1
8002,46,45–54,Female,88456,11,2,0.2774903687332632,1,0.0764227200769893,PPC,Awareness,8,2337,2,1
8003,32,25–34,Female,44085,2,2,0.1376112536017239,1,0.0880041866896052,PPC,Conversion,0,2463,47,1
8004,60,55–64,Female,83964,6,6,0.2528511065638809,1,0.1099401031792947,PPC,Conversion,8,4345,0,1
8005,25,25–34,Female,42925,5,8,0.1537946791446816,1,0.1613161264701013,Social Media,Awareness,0,3316,6,1
8006,38,35–44,Female,25615,14,3,0.0409753864012685,1,0.0609768202791524,Referral,Awareness,6,930,42,0
8007,56,55–64,Female,57083,9,3,0.0528779285572571,1,0.1889459248608511,Social Media,Conversion,0,2983,48,0
8008,36,35–44,Female,140788,4,8,0.0235359683143721,1,0.1125850114170922,Email,Retention,5,460,13,0
8009,40,35–44,Male,130764,8,4,0.0666412747669137,1,0.1697856796231377,Social Media,Awareness,8,3789,22,0
8010,28,25–34,Male,88319,16,5,0.2691480889624259,1,0.1098675118566435,PPC,Retention,6,1987,47,1
8011,28,25–34,Male,29605,18,6,0.1985574333235444,1,0.1566787071906025,SEO,Awareness,5,2403,16,1
8012,41,35–44,Male,131093,16,5,0.2242685111160442,1,0.0197699429720159,Email,Conversion,4,2946,13,1
8013,53,45–54,Male,64608,8,1,0.190281822934065,1,0.1618503715197726,SEO,Awareness,2,2818,8,1
8014,57,55–64,Male,148788,16,8,0.1220963947201208,1,0.109552291663889,Email,Awareness,1,3247,20,1
8015,41,35–44,Female,39192,0,1,0.0728897285108404,0,0.0953889617554506,Email,Awareness,1,4474,44,0
8016,20,18–24,Female,23331,7,8,0.2784282293628509,1,0.0312058366562549,PPC,Conversion,8,3252,1,1
8017,39,35–44,Female,71330,18,5,0.1593006366518262,1,0.1508968823926174,Social Media,Conversion,2,3463,31,1
8018,19,18–24,Female,117392,8,4,0.1495189655503024,1,0.0349210939757863,PPC,Conversion,6,2222,7,1
8019,41,35–44,Female,69949,7,7,0.2988701856921282,1,0.0465403844327586,PPC,Consideration,3,3644,35,1
8020,61,55–64,Female,88382,5,1,0.1213396966326582,1,0.0340204185848331,PPC,Consideration,6,1651,25,1
8021,47,45–54,Female,119233,14,0,0.2576963413187493,1,0.0112493654655946,SEO,Consideration,5,2586,36,1
8022,55,55–64,Male,57586,14,6,0.2600797774918882,1,0.1357636182127649,Email,Consideration,9,1989,14,1
8023,19,18–24,Female,72243,5,5,0.0774743610037607,1,0.0614603685066052,Referral,Conversion,3,1417,33,0
8024,38,35–44,Female,120566,14,3,0.037503510781547,1,0.0383993872462522,Social Media,Awareness,2,1563,20,0
8025,50,45–54,Female,144213,17,3,0.2929298335576006,1,0.0707947716777232,PPC,Conversion,3,2227,22,1
8026,29,25–34,Male,78618,5,5,0.1335100905993144,0,0.1048260913938686,Email,Consideration,1,129,8,1
8027,39,35–44,Male,98311,17,6,0.0106438933829566,1,0.1056483789680143,Social Media,Retention,1,2688,39,0
8028,61,55–64,Female,27549,17,1,0.1547151718103979,1,0.0797672415830722,Referral,Retention,3,68,25,1
8029,42,35–44,Female,138168,18,6,0.1895971054867606,1,0.1040371314978715,Referral,Conversion,2,3079,42,1
8030,66,65+,Male,72494,19,9,0.2350655917599299,1,0.0911948769810488,PPC,Awareness,4,1011,21,1
8031,44,35–44,Male,107973,12,6,0.2834532142848552,1,0.1663063969270523,Referral,Consideration,0,911,12,1
8032,59,55–64,Female,43958,10,5,0.2753994823941842,1,0.0156266538233245,Referral,Awareness,6,4683,24,1
8033,45,45–54,Female,109779,14,2,0.2826393878159118,1,0.1749257253313789,Social Media,Awareness,3,467,6,1
8034,33,25–34,Male,127713,5,7,0.0193162929952471,1,0.0563438985789388,Social Media,Awareness,5,653,26,0
8035,32,25–34,Female,127960,10,0,0.2164144988108356,1,0.1471386208568876,PPC,Consideration,1,2429,14,1
8036,64,55–64,Male,114520,3,7,0.0754988092136491,1,0.0869575271046961,Email,Conversion,3,1066,11,0
8037,68,65+,Male,122478,14,6,0.0643902792896396,1,0.0659232632559093,PPC,Consideration,4,257,44,0
8038,61,55–64,Female,149203,15,1,0.2420923848937826,1,0.126916000869978,SEO,Consideration,5,4709,32,1
8039,69,65+,Male,141835,13,0,0.1309676098601351,1,0.1560880395839898,Referral,Conversion,0,2885,20,1
8040,20,18–24,Female,57538,4,7,0.2758140219768774,1,0.0954879260896847,Email,Conversion,3,1476,24,1
8041,54,45–54,Female,25833,14,3,0.0223061763307549,1,0.0986452301824413,Social Media,Conversion,1,3243,39,0
8042,68,65+,Female,142893,9,9,0.2426324405512773,1,0.0211827321058591,SEO,Retention,9,3513,46,1
8043,24,18–24,Male,43386,5,9,0.0496819792719527,0,0.1855592363192903,SEO,Retention,0,913,21,0
8044,38,35–44,Male,136981,15,8,0.0612073884538454,1,0.1709103723247892,Referral,Conversion,8,2136,13,0
8045,26,25–34,Male,120349,15,3,0.1484319975021047,1,0.0856186296330627,Social Media,Awareness,0,284,7,1
8046,56,55–64,Female,119341,18,7,0.1247210828531118,1,0.1553406165005061,Email,Retention,1,4275,23,1
8047,35,35–44,Female,91778,2,7,0.1509899687773146,1,0.0695230433846072,Social Media,Consideration,8,3388,2,1
8048,21,18–24,Female,114240,19,0,0.282607691389006,1,0.1487801406724272,Referral,Consideration,7,883,11,1
8049,42,35–44,Female,127955,17,4,0.2006427913134362,1,0.1081714261471714,SEO,Retention,9,3404,46,1
8050,31,25–34,Female,44832,18,3,0.0941897207341801,1,0.0975456772217527,Referral,Consideration,9,4788,21,0
8051,67,65+,Female,97857,1,3,0.060143526572175,1,0.0207393694790417,PPC,Conversion,9,4720,15,0
8052,26,25–34,Male,58930,8,8,0.1318134197879707,1,0.1934301651436839,SEO,Consideration,3,2124,6,1
8053,43,35–44,Male,52407,0,2,0.1409758979076439,1,0.1691077042768998,Referral,Retention,1,3219,17,1
8054,19,18–24,Female,24073,3,7,0.1843753788708597,1,0.1607437329174248,Email,Awareness,7,4930,44,1
8055,37,35–44,Male,37667,3,8,0.0871407840265326,1,0.0679340775542076,Email,Consideration,2,1977,22,0
8056,45,45–54,Male,36035,5,7,0.2325776816580768,1,0.0650221350405093,Email,Consideration,9,3851,25,1
8057,64,55–64,Female,26732,5,3,0.0385534711890206,1,0.1189066883529833,PPC,Awareness,0,336,37,0
8058,24,18–24,Female,75097,18,1,0.1725314754441897,1,0.1707824072829682,Social Media,Retention,1,465,1,1
8059,61,55–64,Male,23487,7,9,0.1908241794407922,1,0.1875793971720439,Email,Awareness,3,3434,1,1
8060,25,25–34,Female,120488,7,6,0.0699811585088921,1,0.061096514941483,PPC,Consideration,0,1035,21,0
8061,64,55–64,Female,77702,19,2,0.2495432916448901,1,0.1254088120606893,Email,Retention,5,2604,37,1
8062,52,45–54,Female,146671,12,5,0.1884753163102265,1,0.1475415319797584,PPC,Conversion,3,716,41,1
8063,31,25–34,Male,114961,8,2,0.1972594422479121,1,0.0530145075848125,Email,Retention,5,3979,27,1
8064,34,25–34,Male,132194,18,3,0.1543456166713971,1,0.0874190397422606,Social Media,Retention,4,824,16,1
8065,53,45–54,Female,105107,6,1,0.2737823229811381,1,0.0456201120055917,Referral,Conversion,3,125,47,1
8066,67,65+,Female,49075,19,4,0.2112389986314111,1,0.1427919647759835,Email,Retention,6,643,17,1
8067,57,55–64,Female,127721,7,9,0.1207323138197711,1,0.1741191759435875,Referral,Consideration,6,4051,1,1
8068,21,18–24,Female,91031,10,6,0.079195707457385,1,0.1767315273648144,Email,Consideration,3,4280,34,0
8069,19,18–24,Male,104217,2,1,0.0306078856988113,1,0.1373168853936143,Social Media,Consideration,3,3849,14,0
8070,23,18–24,Male,34781,16,4,0.0579546427823042,1,0.075958948433129,Referral,Consideration,3,1328,14,0
8071,59,55–64,Female,59865,4,5,0.2978780561042613,1,0.1355976716023083,PPC,Conversion,7,558,43,1
8072,21,18–24,Male,28469,5,5,0.1279623998375756,1,0.1742106781624555,Email,Consideration,4,2761,44,1
8073,46,45–54,Male,65167,14,1,0.2706192959104479,1,0.1289126084477988,Email,Retention,4,2918,33,1
8074,35,35–44,Female,144866,8,1,0.0594651134967266,1,0.0884494686562144,PPC,Awareness,8,3483,49,0
8075,43,35–44,Male,101738,18,1,0.1333546526888464,1,0.1847625226366098,Social Media,Conversion,9,11,14,1
8076,61,55–64,Male,39928,5,2,0.2885503554397001,1,0.168691152721191,SEO,Conversion,5,2751,17,1
